1.499991321499999919e-01 2.405834958710861571e+01 5.646302711503576433e+00 1.445454777165689109e+01 3.118090334514878048e+00
2.500000000000000555e-01 1.842201171331929643e+01 1.335085397612878566e+01 1.143161597609447711e+01 7.432536724356738844e+00
3.999989293000000279e-01 9.226650895580712941e+00 1.414400621556322513e+01 6.365458214969057948e+00 8.050713827783852139e+00
5.499980614499999643e-01 4.898222147391495085e+00 1.209471374604336447e+01 3.878947821816142838e+00 7.071657040028349606e+00
6.499991321500000474e-01 3.288418660189216691e+00 1.063247895008160704e+01 2.913492633494606743e+00 6.318181333162812052e+00
7.999989293000000501e-01 1.841057752537149872e+00 8.909085136518331893e+00 2.008473008825152561e+00 5.410470707269366741e+00
9.499980614499999865e-01 1.018978469847469759e+00 7.465138510156526408e+00 1.459821838609776989e+00 4.639220213336670895e+00
1.049999132149999959e+00 6.850611626524600872e-01 6.729253692323356795e+00 1.217815752876451940e+00 4.237579679094782392e+00
1.150000000000000133e+00 4.396390437151709296e-01 6.106331045853505834e+00 1.030450014107264556e+00 3.893130118684668961e+00
1.250000000000000222e+00 2.587778252165486848e-01 5.574876805621075349e+00 8.830464222649198058e-01 3.595027006901357236e+00
1.399998929300000139e+00 5.368524650524852948e-02 4.933407924465879724e+00 7.078889726625120504e-01 3.227589476751473896e+00
1.549997858600000056e+00 -9.363244949050675281e-02 4.374224218845744083e+00 5.730540518266574734e-01 2.902811329700449416e+00
1.649998061449999831e+00 -1.650844070807635511e-01 4.067041662232329990e+00 5.020183943884244382e-01 2.720384264077712277e+00
1.749998264300000050e+00 -2.294238231405940631e-01 3.791604390500875166e+00 4.381472033852001902e-01 2.554927342446586369e+00
1.849999132150000003e+00 -2.851480855040728901e-01 3.541167335394052706e+00 3.812786649760343538e-01 2.402927543412227696e+00
1.999998929300000006e+00 -3.613979321046474347e-01 3.207805984421044698e+00 3.041062344813759699e-01 2.197237158138412472e+00
2.149997858599999923e+00 -4.251412926291979755e-01 2.896793243344858215e+00 2.384067716293397643e-01 2.003562680984009692e+00
2.249998061449999920e+00 -4.609876754073380933e-01 2.706420132841228288e+00 2.001400860187415587e-01 1.883676046706837415e+00
2.349998264300000361e+00 -4.905893265266167980e-01 2.523670247145615608e+00 1.667380857989484433e-01 1.767702801008868674e+00
2.449999132150000314e+00 -5.136308772172875070e-01 2.348503057159366136e+00 1.384953735844521860e-01 1.655714670338921835e+00
2.599998929300000317e+00 -5.368937672912850179e-01 2.100514907811496634e+00 1.048818556072277364e-01 1.495746880038271609e+00
2.749997878600000334e+00 -5.436913243306829013e-01 1.862120986317317817e+00 8.299106527505861752e-02 1.340861083528150033e+00
2.849997898600000301e+00 -5.381926656161473144e-01 1.713172186510520278e+00 7.556279621651385003e-02 1.242865244721662377e+00
2.949997898599999946e+00 -5.257978308360757858e-01 1.571405323798721110e+00 7.326594366117489265e-02 1.148875051608619025e+00
3.049998056450000217e+00 -5.069951285046385703e-01 1.437158186411943595e+00 7.568029874919546263e-02 1.059143981783243982e+00
3.149999107150000199e+00 -4.823677809519217874e-01 1.310595104805126976e+00 8.245076268940731978e-02 9.737434192791412091e-01
3.250000000000000000e+00 -4.525092415671390089e-01 1.191927042372612267e+00 9.329557835466983917e-02 8.928283800027203565e-01
3.350000000000000089e+00 -4.182902023763290789e-01 1.081232003551908960e+00 1.077595271418798628e-01 8.165734961188724217e-01
3.450000000000000178e+00 -3.803236408753833953e-01 9.783699628970485840e-01 1.254153542354057294e-01 7.450282348906854812e-01
3.599998949300000195e+00 -3.197620020060454316e-01 8.409401220538741395e-01 1.556666226643870221e-01 6.480462581112087506e-01
3.749997898600000212e+00 -2.551220895232224617e-01 7.141610964371607473e-01 1.902049618448551360e-01 5.576890567345371696e-01
3.849997898599999413e+00 -2.097181334818662979e-01 6.396040601242169998e-01 2.156057813968867976e-01 5.037664709347787761e-01
3.949997898600000834e+00 -1.637925938552149407e-01 5.711100345864039696e-01 2.420178038963842759e-01 4.537959819774826098e-01
4.049998056450000661e+00 -1.174162169500900799e-01 5.083647655108277652e-01 2.693313494011222442e-01 4.076232280192189084e-01
4.149999107150000199e+00 -7.077436366402256596e-02 4.509878524346591644e-01 2.973925020811234443e-01 3.650449380609268046e-01
4.299998949299999929e+00 -1.592404641340250393e-03 3.764207905451659730e-01 3.398904058922697091e-01 3.089553218720895167e-01
4.449997898599999502e+00 6.675983362370618845e-02 3.091975197582595980e-01 3.829488917209306065e-01 2.579033333368488390e-01
4.549998056449999773e+00 1.122011748768242390e-01 2.713507196781015374e-01 4.121123182802002294e-01 2.287249250434295333e-01
4.649999107150000199e+00 1.564972994486818481e-01 2.378118295287041661e-01 4.409140732234491100e-01 2.025877040517941041e-01
4.799998949299999929e+00 2.198701546817372066e-01 1.961994508667231352e-01 4.826720599445051274e-01 1.696264528215553347e-01
4.949997898600000390e+00 2.797425970578766297e-01 1.598543050771751572e-01 5.228022740218352116e-01 1.405084163985766965e-01
5.049998056450000661e+00 3.180231202414481873e-01 1.403077077400181616e-01 5.488215411939330046e-01 1.245884494606889215e-01
5.149999107150000199e+00 3.544745582670187911e-01 1.234375208829445042e-01 5.738377531212279781e-01 1.107179441786564078e-01
5.287336789300000284e+00 4.014180408500286346e-01 1.049599632683560629e-01 6.063530652188633407e-01 9.532074795250798649e-02
5.437335738600000745e+00 4.478178595054576050e-01 8.767035005573149686e-02 6.388340519107692517e-01 8.086535131916976205e-02
5.549998056449999773e+00 4.811288703633285202e-01 7.692345836297391493e-02 6.623628526726623722e-01 7.188622001736078015e-02
