9.690394934999999044e-02 2.214628858423528968e+01 0.000000000000000000e+00 1.985979920001659593e+01 0.000000000000000000e+00
2.469038179000000444e-01 2.492047002087370799e+01 3.569800319729860005e-02 2.257195201322678102e+01 4.632546459815191364e-02
3.500001179000000184e-01 3.125966612645845188e+01 5.998937062724188252e+00 2.877426353860282404e+01 5.986267854287241619e+00
4.500002493499999923e-01 2.624571320811134711e+01 1.373672332922685868e+01 2.360777895827953188e+01 1.359742792340233386e+01
5.549290493499999810e-01 2.094177879530321462e+01 1.599264337864117813e+01 1.823240467953088739e+01 1.566066686187110157e+01
6.858670357999999689e-01 1.619215981667532489e+01 1.622145916649400021e+01 1.344819177928349418e+01 1.565340152190730194e+01
8.192164858000000605e-01 1.281214306854641549e+01 1.561213895070669899e+01 1.005576542543475327e+01 1.478623835192248492e+01
9.382783678999999655e-01 1.062895295550607599e+01 1.471912475273119725e+01 7.915754850726500536e+00 1.361168238919671758e+01
1.050000000000000044e+00 9.182963175659978106e+00 1.387147693641340140e+01 6.651536544440526555e+00 1.253938085001916214e+01
1.150000000000000133e+00 8.147038495235225497e+00 1.319970558787223602e+01 5.759499553894282364e+00 1.174727399700437225e+01
1.250000000000000222e+00 7.296070359253859827e+00 1.257367174397766973e+01 5.049272141109022449e+00 1.102279283104739172e+01
1.350000107900000135e+00 6.593655155195390805e+00 1.199672153577155598e+01 4.481255205127168573e+00 1.036863437393739495e+01
1.450000215799999825e+00 6.006029260965185301e+00 1.146923172742628161e+01 4.021669151322326385e+00 9.778598905125775786e+00
1.550000239350000086e+00 5.511284985958977423e+00 1.098778660962252474e+01 3.652457841829469753e+00 9.248169831107809102e+00
1.680938262900000035e+00 4.971383386351424072e+00 1.043555317784974434e+01 3.265558705144071094e+00 8.658206981231888477e+00
1.819216512899999749e+00 4.497494604696804288e+00 9.912812048903207440e+00 2.922479871149308295e+00 8.104444818583131038e+00
1.938278381449999754e+00 4.155173747028637621e+00 9.520296768980989199e+00 2.683349929105379950e+00 7.678545301485310226e+00
2.050000000000000266e+00 3.881285926689116650e+00 9.192876865251996321e+00 2.514498803959267725e+00 7.322822984284551140e+00
2.149999999999999911e+00 3.660623127308962221e+00 8.938289540128389277e+00 2.380626066138902708e+00 7.050508433957263676e+00
2.250000000000000000e+00 3.455563631429864113e+00 8.712352973636761533e+00 2.259299744323523207e+00 6.807509494552068219e+00
2.350000000000000089e+00 3.261508756523797015e+00 8.511265819888972572e+00 2.146789876867206903e+00 6.590237084371199927e+00
2.450000000000000622e+00 3.074478590832705027e+00 8.331712025312024039e+00 2.040187437917219793e+00 6.394718415741939666e+00
2.550000107900000312e+00 2.890361557776925494e+00 8.170102260426553187e+00 1.937284883410598901e+00 6.217549385728518452e+00
2.650000229349999792e+00 2.705957275426825959e+00 8.021419676607381533e+00 1.836039622048133868e+00 6.055315555567658770e+00
2.750000242899999670e+00 2.521552905987120230e+00 7.882086449914183390e+00 1.735731574423904799e+00 5.905218545847949585e+00
2.850000242899999758e+00 2.334191378904773018e+00 7.747959424710001208e+00 1.634276676133290973e+00 5.763588925955366093e+00
2.950000242899999847e+00 2.146470260243308559e+00 7.614510231561251175e+00 1.533729658508899307e+00 5.626822396656528724e+00
3.050000242900000380e+00 1.960233504642645563e+00 7.480217983999073006e+00 1.436206471432530885e+00 5.494044923506222311e+00
3.179469994349999773e+00 1.723067189065198068e+00 7.304585816749450622e+00 1.314329597205119660e+00 5.334415211633210419e+00
3.329469872899999849e+00 1.449279879760327017e+00 7.088634792515481564e+00 1.158424256808065378e+00 5.141528552304590605e+00
3.450000000000000178e+00 1.250143927862366056e+00 6.905205069067810619e+00 1.060643492352970174e+00 4.979852253384257743e+00
3.550000107900000312e+00 1.093688141051448515e+00 6.752807622569587664e+00 9.841349199727836838e-01 4.854913064519478461e+00
3.650000229350000236e+00 9.465809421904561871e-01 6.598962615865318959e+00 9.126727642876597546e-01 4.732605273522662692e+00
3.750000242899999225e+00 8.087260468127094315e-01 6.444753143731526634e+00 8.464338920789290510e-01 4.613287330466887326e+00
3.850000242900000202e+00 6.803985623695356644e-01 6.291065496495545695e+00 7.857032672347254998e-01 4.497206740294424243e+00
4.000000121449999391e+00 5.038776470126682394e-01 6.064300305052986673e+00 7.031319818237447006e-01 4.331592973535097535e+00
4.150000000000000355e+00 3.452409908016512707e-01 5.840864405777033141e+00 6.301589521251742543e-01 4.171981902820974142e+00
4.250000107900000046e+00 2.486241141910477959e-01 5.695798150472400678e+00 5.863469693064760069e-01 4.071593676123402616e+00
4.350000229349999969e+00 1.583673146605275583e-01 5.553508085111852566e+00 5.454344299138049745e-01 3.974955906333246691e+00
4.500000121450000279e+00 3.319255361096007384e-02 5.346339892071012123e+00 4.881619582965810444e-01 3.837924660741634408e+00
4.650000000000000355e+00 -8.044465959731006421e-02 5.143230256644475418e+00 4.357760752258722503e-01 3.705980643537171382e+00
4.750000107900000046e+00 -1.500094090094921118e-01 5.011723649831495209e+00 4.034106601582269080e-01 3.622844589903559065e+00
4.850000229349999969e+00 -2.153057104635192065e-01 4.882676307009363725e+00 3.723732133068499150e-01 3.542575997460193804e+00
5.000000121449999391e+00 -3.061999813662141801e-01 4.694302014732547157e+00 3.274889015630092493e-01 3.427907827069482494e+00
5.149999999999999467e+00 -3.888310121784386286e-01 4.509173642174461705e+00 2.846855196507983576e-01 3.316717573169981392e+00
5.250000107900000046e+00 -4.392952536951988396e-01 4.388802612199874886e+00 2.573314817658375331e-01 3.245750548870638852e+00
