# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.234831E+01    0.214987E+01    0.182327E+01    0.842469E+00    0.494790E+00    0.117766E+01    0.114671E+00    0.137647E+00
    0.239320E+01    0.213640E+01    0.164834E+01    0.827507E+00    0.450980E+00    0.109391E+01    0.108335E+00    0.131300E+00
    0.244082E+01    0.216592E+01    0.147538E+01    0.824658E+00    0.404291E+00    0.100017E+01    0.103598E+00    0.120935E+00
    0.249117E+01    0.223869E+01    0.134994E+01    0.836771E+00    0.367475E+00    0.927843E+00    0.102077E+00    0.109649E+00
    0.254423E+01    0.232680E+01    0.127577E+01    0.856047E+00    0.343679E+00    0.886241E+00    0.102830E+00    0.100493E+00
    0.260001E+01    0.244099E+01    0.120303E+01    0.882316E+00    0.319562E+00    0.842120E+00    0.104711E+00    0.905372E-01
    0.265852E+01    0.256430E+01    0.123089E+01    0.915091E+00    0.321367E+00    0.865933E+00    0.109367E+00    0.865650E-01
    0.271974E+01    0.266495E+01    0.127681E+01    0.942413E+00    0.328666E+00    0.905996E+00    0.113642E+00    0.847700E-01
    0.278369E+01    0.276872E+01    0.134183E+01    0.970937E+00    0.340404E+00    0.960414E+00    0.118380E+00    0.838447E-01
    0.285036E+01    0.284391E+01    0.150258E+01    0.996381E+00    0.376326E+00    0.108719E+01    0.124387E+00    0.882136E-01
    0.291975E+01    0.287094E+01    0.165299E+01    0.100998E+01    0.411197E+00    0.121685E+01    0.128848E+00    0.933022E-01
    0.299186E+01    0.286506E+01    0.183692E+01    0.101797E+01    0.455139E+00    0.138016E+01    0.133481E+00    0.100307E+00
    0.306669E+01    0.280546E+01    0.204316E+01    0.101553E+01    0.506854E+00    0.157542E+01    0.137771E+00    0.109517E+00
    0.314424E+01    0.269518E+01    0.223501E+01    0.100171E+01    0.558275E+00    0.177913E+01    0.141075E+00    0.119842E+00
    0.322451E+01    0.251462E+01    0.246005E+01    0.975431E+00    0.622662E+00    0.203498E+01    0.144918E+00    0.133666E+00
    0.330751E+01    0.220329E+01    0.267306E+01    0.920335E+00    0.695987E+00    0.233316E+01    0.147726E+00    0.153568E+00
    0.339322E+01    0.175692E+01    0.273641E+01    0.822268E+00    0.750825E+00    0.258223E+01    0.145371E+00    0.181357E+00
    0.348166E+01    0.139267E+01    0.240174E+01    0.700417E+00    0.706222E+00    0.249213E+01    0.126984E+00    0.208970E+00
    0.357282E+01    0.124473E+01    0.208747E+01    0.629429E+00    0.640552E+00    0.231958E+01    0.110113E+00    0.222158E+00
    0.366670E+01    0.122094E+01    0.181113E+01    0.594793E+00    0.567825E+00    0.211025E+01    0.958424E-01    0.220526E+00
    0.376330E+01    0.128886E+01    0.157595E+01    0.591822E+00    0.495015E+00    0.188812E+01    0.854989E-01    0.204073E+00
    0.386262E+01    0.147129E+01    0.137201E+01    0.627559E+00    0.421494E+00    0.165013E+01    0.806989E-01    0.171723E+00
    0.396466E+01    0.173503E+01    0.140450E+01    0.704348E+00    0.412035E+00    0.165571E+01    0.889823E-01    0.148577E+00
    0.400000E+01    0.177333E+01    0.154768E+01    0.724715E+00    0.448676E+00    0.181902E+01    0.952768E-01    0.153438E+00
    0.400136E+01    0.177201E+01    0.154810E+01    0.724387E+00    0.448884E+00    0.182048E+01    0.952589E-01    0.153571E+00
    0.400544E+01    0.176734E+01    0.155319E+01    0.723478E+00    0.450597E+00    0.182929E+01    0.953311E-01    0.154231E+00
