# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.450014E+02   -0.127298E+00    0.270641E+00   -0.549056E-01    0.143182E+00    0.653067E+01    0.618201E-02    0.324177E+00
    0.451388E+02   -0.125280E+00    0.271370E+00   -0.538054E-01    0.143401E+00    0.656062E+01    0.616000E-02    0.323530E+00
    0.452790E+02   -0.123562E+00    0.272104E+00   -0.528613E-01    0.143645E+00    0.659221E+01    0.614595E-02    0.323093E+00
    0.454218E+02   -0.122056E+00    0.272840E+00   -0.520267E-01    0.143907E+00    0.662507E+01    0.613739E-02    0.322801E+00
    0.455674E+02   -0.120729E+00    0.273585E+00   -0.512846E-01    0.144187E+00    0.665923E+01    0.613365E-02    0.322636E+00
    0.457157E+02   -0.119567E+00    0.274332E+00   -0.506277E-01    0.144481E+00    0.669452E+01    0.613409E-02    0.322584E+00
    0.458667E+02   -0.118585E+00    0.275113E+00   -0.500611E-01    0.144806E+00    0.673174E+01    0.614006E-02    0.322683E+00
    0.460205E+02   -0.117810E+00    0.275884E+00   -0.496020E-01    0.145141E+00    0.676995E+01    0.615048E-02    0.322908E+00
    0.461770E+02   -0.117170E+00    0.276520E+00   -0.492231E-01    0.145418E+00    0.680591E+01    0.615920E-02    0.323093E+00
    0.463361E+02   -0.116635E+00    0.277209E+00   -0.488943E-01    0.145730E+00    0.684404E+01    0.617231E-02    0.323398E+00
    0.464980E+02   -0.116271E+00    0.277916E+00   -0.486518E-01    0.146064E+00    0.688369E+01    0.618990E-02    0.323830E+00
    0.466627E+02   -0.116105E+00    0.278620E+00   -0.485108E-01    0.146412E+00    0.692454E+01    0.621187E-02    0.324392E+00
    0.468300E+02   -0.116165E+00    0.279299E+00   -0.484880E-01    0.146766E+00    0.696615E+01    0.623804E-02    0.325079E+00
    0.470001E+02   -0.116559E+00    0.279980E+00   -0.486359E-01    0.147147E+00    0.700960E+01    0.627179E-02    0.325992E+00
    0.471729E+02   -0.117089E+00    0.280100E+00   -0.488988E-01    0.147250E+00    0.704031E+01    0.628806E-02    0.326461E+00
    0.473484E+02   -0.117571E+00    0.280238E+00   -0.491353E-01    0.147360E+00    0.707176E+01    0.630401E-02    0.326917E+00
    0.475266E+02   -0.118172E+00    0.280377E+00   -0.494329E-01    0.147479E+00    0.710412E+01    0.632271E-02    0.327455E+00
    0.477076E+02   -0.118906E+00    0.280363E+00   -0.498112E-01    0.147530E+00    0.713365E+01    0.633890E-02    0.327937E+00
    0.478913E+02   -0.119790E+00    0.280318E+00   -0.502691E-01    0.147578E+00    0.716342E+01    0.635750E-02    0.328493E+00
    0.480777E+02   -0.120995E+00    0.280213E+00   -0.508969E-01    0.147620E+00    0.719335E+01    0.638141E-02    0.329209E+00
    0.482668E+02   -0.122188E+00    0.279244E+00   -0.515882E-01    0.147217E+00    0.720193E+01    0.637356E-02    0.329091E+00
    0.484586E+02   -0.123021E+00    0.278268E+00   -0.520952E-01    0.146780E+00    0.720913E+01    0.635723E-02    0.328718E+00
    0.486532E+02   -0.123717E+00    0.277464E+00   -0.525177E-01    0.146422E+00    0.722039E+01    0.634418E-02    0.328415E+00
    0.488505E+02   -0.124462E+00    0.276801E+00   -0.529548E-01    0.146139E+00    0.723567E+01    0.633754E-02    0.328280E+00
    0.490505E+02   -0.125286E+00    0.276139E+00   -0.534326E-01    0.145863E+00    0.725157E+01    0.633296E-02    0.328199E+00
    0.492532E+02   -0.126385E+00    0.275803E+00   -0.540262E-01    0.145778E+00    0.727727E+01    0.634704E-02    0.328623E+00
    0.494586E+02   -0.127826E+00    0.275160E+00   -0.548221E-01    0.145560E+00    0.729670E+01    0.635839E-02    0.328981E+00
    0.496668E+02   -0.129503E+00    0.274441E+00   -0.557458E-01    0.145322E+00    0.731544E+01    0.637319E-02    0.329428E+00
    0.498777E+02   -0.131438E+00    0.273474E+00   -0.568247E-01    0.144975E+00    0.732898E+01    0.638588E-02    0.329810E+00
    0.500913E+02   -0.133859E+00    0.272522E+00   -0.581551E-01    0.144675E+00    0.734511E+01    0.641212E-02    0.330543E+00
    0.503076E+02   -0.136651E+00    0.270516E+00   -0.597641E-01    0.143856E+00    0.733506E+01    0.641078E-02    0.330482E+00
    0.505267E+02   -0.139112E+00    0.267522E+00   -0.612816E-01    0.142493E+00    0.729725E+01    0.636683E-02    0.329179E+00
    0.507485E+02   -0.141215E+00    0.264516E+00   -0.626144E-01    0.141092E+00    0.725722E+01    0.631469E-02    0.327582E+00
    0.509730E+02   -0.143000E+00    0.260841E+00   -0.638333E-01    0.139313E+00    0.719740E+01    0.623194E-02    0.325041E+00
    0.512002E+02   -0.144350E+00    0.257130E+00   -0.648263E-01    0.137477E+00    0.713421E+01    0.613808E-02    0.322117E+00
    0.514301E+02   -0.145414E+00    0.253239E+00   -0.656812E-01    0.135521E+00    0.706426E+01    0.603195E-02    0.318761E+00
    0.516628E+02   -0.146030E+00    0.248992E+00   -0.663246E-01    0.133340E+00    0.698202E+01    0.590343E-02    0.314677E+00
    0.518981E+02   -0.146010E+00    0.244729E+00   -0.666314E-01    0.131100E+00    0.689600E+01    0.575934E-02    0.310101E+00
    0.521362E+02   -0.145584E+00    0.240962E+00   -0.666831E-01    0.129089E+00    0.682137E+01    0.562292E-02    0.305754E+00
    0.523771E+02   -0.145044E+00    0.237425E+00   -0.666550E-01    0.127190E+00    0.675209E+01    0.549287E-02    0.301561E+00
    0.526206E+02   -0.144295E+00    0.233856E+00   -0.665146E-01    0.125260E+00    0.668053E+01    0.535799E-02    0.297179E+00
    0.528669E+02   -0.143427E+00    0.230779E+00   -0.662738E-01    0.123579E+00    0.662176E+01    0.523738E-02    0.293248E+00
    0.531158E+02   -0.142576E+00    0.227707E+00   -0.660385E-01    0.121904E+00    0.656273E+01    0.511885E-02    0.289326E+00
    0.533676E+02   -0.141646E+00    0.224764E+00   -0.657493E-01    0.120291E+00    0.650661E+01    0.500372E-02    0.285491E+00
    0.536220E+02   -0.140690E+00    0.222012E+00   -0.654315E-01    0.118778E+00    0.645538E+01    0.489516E-02    0.281847E+00
    0.538791E+02   -0.139714E+00    0.219324E+00   -0.650963E-01    0.117298E+00    0.640550E+01    0.478928E-02    0.278261E+00
    0.541390E+02   -0.138771E+00    0.216894E+00   -0.647595E-01    0.115956E+00    0.636280E+01    0.469314E-02    0.274982E+00
    0.544016E+02   -0.137969E+00    0.214560E+00   -0.644886E-01    0.114675E+00    0.632301E+01    0.460429E-02    0.271893E+00
    0.546669E+02   -0.137293E+00    0.212237E+00   -0.642819E-01    0.113409E+00    0.628367E+01    0.451975E-02    0.268890E+00
    0.549349E+02   -0.136752E+00    0.209944E+00   -0.641422E-01    0.112167E+00    0.624533E+01    0.444016E-02    0.265996E+00
    0.552057E+02   -0.136504E+00    0.207726E+00   -0.641510E-01    0.110982E+00    0.620986E+01    0.437054E-02    0.263352E+00
    0.554792E+02   -0.136472E+00    0.204967E+00   -0.643057E-01    0.109527E+00    0.615875E+01    0.429148E-02    0.260212E+00
    0.557554E+02   -0.136154E+00    0.201557E+00   -0.643468E-01    0.107709E+00    0.608672E+01    0.418849E-02    0.256156E+00
    0.560343E+02   -0.135349E+00    0.198168E+00   -0.641260E-01    0.105873E+00    0.601288E+01    0.407609E-02    0.251836E+00
    0.563159E+02   -0.134279E+00    0.194997E+00   -0.637491E-01    0.104137E+00    0.594402E+01    0.396512E-02    0.247616E+00
    0.566003E+02   -0.133046E+00    0.191856E+00   -0.632814E-01    0.102408E+00    0.587485E+01    0.385285E-02    0.243342E+00
    0.568873E+02   -0.131587E+00    0.188788E+00   -0.626872E-01    0.100707E+00    0.580655E+01    0.373913E-02    0.239038E+00
    0.571771E+02   -0.130020E+00    0.186068E+00   -0.620143E-01    0.991849E-01    0.574793E+01    0.363377E-02    0.235087E+00
    0.574697E+02   -0.128480E+00    0.183457E+00   -0.613469E-01    0.977233E-01    0.569220E+01    0.353332E-02    0.231286E+00
    0.577649E+02   -0.126949E+00    0.180935E+00   -0.606776E-01    0.963114E-01    0.563878E+01    0.343682E-02    0.227604E+00
    0.580629E+02   -0.125434E+00    0.178485E+00   -0.600109E-01    0.949397E-01    0.558714E+01    0.334383E-02    0.224024E+00
    0.583636E+02   -0.123918E+00    0.176043E+00   -0.593417E-01    0.935742E-01    0.553530E+01    0.325241E-02    0.220464E+00
    0.586670E+02   -0.122364E+00    0.173613E+00   -0.586503E-01    0.922152E-01    0.548327E+01    0.316188E-02    0.216912E+00
    0.589731E+02   -0.120757E+00    0.171215E+00   -0.579277E-01    0.908716E-01    0.543157E+01    0.307237E-02    0.213384E+00
    0.592819E+02   -0.119079E+00    0.168835E+00   -0.571650E-01    0.895360E-01    0.537977E+01    0.298326E-02    0.209857E+00
    0.595935E+02   -0.117292E+00    0.166490E+00   -0.563425E-01    0.882154E-01    0.532828E+01    0.289425E-02    0.206335E+00
    0.599078E+02   -0.115391E+00    0.164257E+00   -0.554529E-01    0.869502E-01    0.527956E+01    0.280704E-02    0.202909E+00
    0.602248E+02   -0.113436E+00    0.162202E+00   -0.545253E-01    0.857781E-01    0.523595E+01    0.272423E-02    0.199681E+00
    0.605445E+02   -0.111464E+00    0.160246E+00   -0.535842E-01    0.846593E-01    0.519509E+01    0.264469E-02    0.196579E+00
    0.608670E+02   -0.109382E+00    0.158304E+00   -0.525836E-01    0.835453E-01    0.515403E+01    0.256483E-02    0.193464E+00
    0.611922E+02   -0.107269E+00    0.156754E+00   -0.515486E-01    0.826370E-01    0.512524E+01    0.249419E-02    0.190805E+00
    0.615201E+02   -0.105229E+00    0.155277E+00   -0.505486E-01    0.817720E-01    0.509877E+01    0.242756E-02    0.188277E+00
    0.618507E+02   -0.103183E+00    0.153943E+00   -0.495393E-01    0.809832E-01    0.507672E+01    0.236493E-02    0.185926E+00
    0.621840E+02   -0.101232E+00    0.152936E+00   -0.485654E-01    0.803712E-01    0.506551E+01    0.231171E-02    0.184000E+00
    0.625201E+02   -0.994450E-01    0.152023E+00   -0.476736E-01    0.798167E-01    0.505774E+01    0.226390E-02    0.182258E+00
    0.628589E+02   -0.978682E-01    0.151361E+00   -0.468806E-01    0.794030E-01    0.505879E+01    0.222525E-02    0.180891E+00
    0.632004E+02   -0.966610E-01    0.150835E+00   -0.462745E-01    0.790769E-01    0.506539E+01    0.219562E-02    0.179829E+00
    0.635446E+02   -0.959934E-01    0.150320E+00   -0.459492E-01    0.787801E-01    0.507386E+01    0.217482E-02    0.178990E+00
    0.638915E+02   -0.954922E-01    0.148896E+00   -0.457492E-01    0.780172E-01    0.505216E+01    0.213838E-02    0.177193E+00
    0.642412E+02   -0.948681E-01    0.147492E+00   -0.454838E-01    0.772602E-01    0.503052E+01    0.210081E-02    0.175373E+00
    0.645936E+02   -0.942763E-01    0.145822E+00   -0.452458E-01    0.763661E-01    0.499958E+01    0.205884E-02    0.173267E+00
    0.649487E+02   -0.934497E-01    0.143652E+00   -0.449054E-01    0.752029E-01    0.495049E+01    0.200414E-02    0.170513E+00
    0.653065E+02   -0.922396E-01    0.141518E+00   -0.443625E-01    0.740437E-01    0.490104E+01    0.194530E-02    0.167664E+00
    0.656671E+02   -0.908045E-01    0.139519E+00   -0.436963E-01    0.729472E-01    0.485511E+01    0.188669E-02    0.164897E+00
    0.660304E+02   -0.892286E-01    0.137595E+00   -0.429531E-01    0.718850E-01    0.481089E+01    0.182844E-02    0.162174E+00
    0.663964E+02   -0.874623E-01    0.135693E+00   -0.421093E-01    0.708292E-01    0.476651E+01    0.176898E-02    0.159426E+00
    0.667651E+02   -0.856197E-01    0.134150E+00   -0.412120E-01    0.699579E-01    0.473401E+01    0.171603E-02    0.157068E+00
    0.671365E+02   -0.838126E-01    0.132629E+00   -0.403321E-01    0.691016E-01    0.470208E+01    0.166491E-02    0.154762E+00
    0.675107E+02   -0.819964E-01    0.131201E+00   -0.394440E-01    0.682943E-01    0.467305E+01    0.161622E-02    0.152569E+00
    0.678875E+02   -0.801945E-01    0.129834E+00   -0.385612E-01    0.675208E-01    0.464591E+01    0.156966E-02    0.150463E+00
    0.682671E+02   -0.784036E-01    0.128474E+00   -0.376838E-01    0.667527E-01    0.461875E+01    0.152420E-02    0.148380E+00
    0.686495E+02   -0.765822E-01    0.127077E+00   -0.367922E-01    0.659653E-01    0.458982E+01    0.147856E-02    0.146258E+00
    0.690345E+02   -0.746976E-01    0.125666E+00   -0.358685E-01    0.651708E-01    0.455997E+01    0.143286E-02    0.144117E+00
    0.694223E+02   -0.727109E-01    0.124194E+00   -0.348943E-01    0.643419E-01    0.452727E+01    0.138588E-02    0.141889E+00
    0.698127E+02   -0.705352E-01    0.122652E+00   -0.338253E-01    0.634728E-01    0.449124E+01    0.133672E-02    0.139544E+00
    0.702059E+02   -0.681119E-01    0.121132E+00   -0.326284E-01    0.626090E-01    0.445507E+01    0.128650E-02    0.137169E+00
    0.706019E+02   -0.653990E-01    0.119637E+00   -0.312822E-01    0.617501E-01    0.441873E+01    0.123507E-02    0.134758E+00
    0.710005E+02   -0.623009E-01    0.118178E+00   -0.297382E-01    0.608998E-01    0.438249E+01    0.118208E-02    0.132301E+00
    0.714019E+02   -0.586085E-01    0.116740E+00   -0.278905E-01    0.600445E-01    0.434536E+01    0.112597E-02    0.129733E+00
    0.718060E+02   -0.537166E-01    0.115309E+00   -0.254318E-01    0.591590E-01    0.430551E+01    0.106256E-02    0.126888E+00
    0.722128E+02   -0.455602E-01    0.113922E+00   -0.213135E-01    0.582014E-01    0.425982E+01    0.980372E-03    0.123301E+00
    0.725500E+02   -0.377133E-01    0.120994E+00   -0.171088E-01    0.615500E-01    0.452594E+01    0.103696E-02    0.128630E+00
    0.725514E+02   -0.376721E-01    0.121062E+00   -0.170857E-01    0.615830E-01    0.452845E+01    0.103777E-02    0.128689E+00
    0.725554E+02   -0.375212E-01    0.121241E+00   -0.170036E-01    0.616691E-01    0.453504E+01    0.103967E-02    0.128834E+00
    0.725622E+02   -0.373077E-01    0.121551E+00   -0.168856E-01    0.618193E-01    0.454651E+01    0.104323E-02    0.129096E+00
    0.725718E+02   -0.370592E-01    0.122010E+00   -0.167450E-01    0.620441E-01    0.456364E+01    0.104895E-02    0.129503E+00
    0.725840E+02   -0.368106E-01    0.122638E+00   -0.165991E-01    0.623542E-01    0.458723E+01    0.105734E-02    0.130083E+00
    0.725990E+02   -0.366112E-01    0.123453E+00   -0.164719E-01    0.627603E-01    0.461805E+01    0.106903E-02    0.130865E+00
    0.726167E+02   -0.365427E-01    0.124474E+00   -0.164040E-01    0.632751E-01    0.465707E+01    0.108484E-02    0.131894E+00
    0.726371E+02   -0.367778E-01    0.125718E+00   -0.164824E-01    0.639125E-01    0.470530E+01    0.110614E-02    0.133232E+00
    0.726602E+02   -0.374123E-01    0.126821E+00   -0.167671E-01    0.644921E-01    0.474948E+01    0.112775E-02    0.134536E+00
    0.726861E+02   -0.381349E-01    0.127351E+00   -0.171154E-01    0.647844E-01    0.477271E+01    0.114073E-02    0.135278E+00
    0.727146E+02   -0.387048E-01    0.127822E+00   -0.173883E-01    0.650422E-01    0.479358E+01    0.115193E-02    0.135920E+00
    0.727459E+02   -0.392086E-01    0.128228E+00   -0.176300E-01    0.652649E-01    0.481206E+01    0.116173E-02    0.136477E+00
    0.727799E+02   -0.396009E-01    0.128485E+00   -0.178201E-01    0.654078E-01    0.482486E+01    0.116841E-02    0.136849E+00
    0.728167E+02   -0.398160E-01    0.128733E+00   -0.179208E-01    0.655411E-01    0.483713E+01    0.117388E-02    0.137165E+00
    0.728561E+02   -0.398393E-01    0.129027E+00   -0.179226E-01    0.656910E-01    0.485082E+01    0.117889E-02    0.137474E+00
    0.728983E+02   -0.393800E-01    0.129216E+00   -0.176834E-01    0.657712E-01    0.485956E+01    0.117912E-02    0.137539E+00
    0.729432E+02   -0.391578E-01    0.131315E+00   -0.174991E-01    0.668271E-01    0.494061E+01    0.121280E-02    0.139629E+00
    0.729500E+02   -0.393961E-01    0.131710E+00   -0.176061E-01    0.670350E-01    0.495644E+01    0.122095E-02    0.140101E+00
    0.729514E+02   -0.394563E-01    0.131678E+00   -0.176378E-01    0.670211E-01    0.495551E+01    0.122080E-02    0.140086E+00
    0.729554E+02   -0.395551E-01    0.131726E+00   -0.176862E-01    0.670489E-01    0.495784E+01    0.122224E-02    0.140163E+00
    0.729622E+02   -0.396826E-01    0.131853E+00   -0.177464E-01    0.671176E-01    0.496339E+01    0.122519E-02    0.140330E+00
    0.729718E+02   -0.398403E-01    0.132059E+00   -0.178192E-01    0.672274E-01    0.497216E+01    0.122969E-02    0.140586E+00
    0.729840E+02   -0.400422E-01    0.132344E+00   -0.179115E-01    0.673791E-01    0.498421E+01    0.123582E-02    0.140937E+00
    0.729990E+02   -0.403126E-01    0.132708E+00   -0.180359E-01    0.675730E-01    0.499958E+01    0.124376E-02    0.141388E+00
    0.730167E+02   -0.406953E-01    0.133149E+00   -0.182145E-01    0.678097E-01    0.501830E+01    0.125377E-02    0.141951E+00
    0.730371E+02   -0.412948E-01    0.133669E+00   -0.185001E-01    0.680941E-01    0.504076E+01    0.126662E-02    0.142659E+00
    0.730602E+02   -0.421127E-01    0.133949E+00   -0.189049E-01    0.682653E-01    0.505504E+01    0.127692E-02    0.143186E+00
    0.730861E+02   -0.428843E-01    0.133829E+00   -0.193006E-01    0.682312E-01    0.505430E+01    0.128010E-02    0.143288E+00
    0.731146E+02   -0.434819E-01    0.133704E+00   -0.196083E-01    0.681893E-01    0.505317E+01    0.128209E-02    0.143336E+00
    0.731459E+02   -0.440041E-01    0.133577E+00   -0.198779E-01    0.681428E-01    0.505189E+01    0.128354E-02    0.143358E+00
    0.731799E+02   -0.444692E-01    0.133405E+00   -0.201201E-01    0.680724E-01    0.504901E+01    0.128388E-02    0.143318E+00
    0.732167E+02   -0.448655E-01    0.133214E+00   -0.203281E-01    0.679892E-01    0.504537E+01    0.128342E-02    0.143237E+00
    0.732561E+02   -0.452002E-01    0.133022E+00   -0.205049E-01    0.679032E-01    0.504170E+01    0.128251E-02    0.143136E+00
    0.732983E+02   -0.454772E-01    0.132821E+00   -0.206527E-01    0.678111E-01    0.503777E+01    0.128107E-02    0.143010E+00
    0.733432E+02   -0.456965E-01    0.132628E+00   -0.207709E-01    0.677207E-01    0.503413E+01    0.127935E-02    0.142874E+00
    0.733908E+02   -0.458687E-01    0.132454E+00   -0.208645E-01    0.676380E-01    0.503125E+01    0.127761E-02    0.142744E+00
    0.734412E+02   -0.459982E-01    0.132284E+00   -0.209364E-01    0.675563E-01    0.502862E+01    0.127566E-02    0.142606E+00
    0.734942E+02   -0.460750E-01    0.132121E+00   -0.209811E-01    0.674763E-01    0.502630E+01    0.127344E-02    0.142460E+00
    0.735500E+02   -0.461078E-01    0.132004E+00   -0.210018E-01    0.674180E-01    0.502576E+01    0.127169E-02    0.142348E+00
    0.736085E+02   -0.461193E-01    0.131922E+00   -0.210106E-01    0.673768E-01    0.502669E+01    0.127038E-02    0.142266E+00
    0.736697E+02   -0.461083E-01    0.131857E+00   -0.210072E-01    0.673430E-01    0.502834E+01    0.126918E-02    0.142195E+00
    0.737337E+02   -0.460763E-01    0.131837E+00   -0.209916E-01    0.673320E-01    0.503188E+01    0.126861E-02    0.142165E+00
    0.738004E+02   -0.460707E-01    0.131898E+00   -0.209867E-01    0.673627E-01    0.503873E+01    0.126961E-02    0.142227E+00
    0.738697E+02   -0.461515E-01    0.131985E+00   -0.210248E-01    0.674095E-01    0.504698E+01    0.127167E-02    0.142340E+00
    0.739418E+02   -0.463378E-01    0.132007E+00   -0.211187E-01    0.674273E-01    0.505324E+01    0.127341E-02    0.142418E+00
    0.740167E+02   -0.464881E-01    0.131749E+00   -0.212041E-01    0.673018E-01    0.504893E+01    0.127014E-02    0.142195E+00
    0.740942E+02   -0.464908E-01    0.131483E+00   -0.212147E-01    0.671665E-01    0.504406E+01    0.126563E-02    0.141919E+00
    0.741745E+02   -0.464116E-01    0.131248E+00   -0.211827E-01    0.670442E-01    0.504033E+01    0.126106E-02    0.141651E+00
    0.742575E+02   -0.463105E-01    0.131033E+00   -0.211388E-01    0.669313E-01    0.503748E+01    0.125668E-02    0.141398E+00
    0.743432E+02   -0.461958E-01    0.130748E+00   -0.210904E-01    0.667823E-01    0.503206E+01    0.125102E-02    0.141069E+00
    0.744317E+02   -0.459346E-01    0.130264E+00   -0.209743E-01    0.665273E-01    0.501881E+01    0.124097E-02    0.140490E+00
    0.745228E+02   -0.454943E-01    0.129894E+00   -0.207633E-01    0.663241E-01    0.500961E+01    0.123158E-02    0.139979E+00
    0.746167E+02   -0.449423E-01    0.129518E+00   -0.204956E-01    0.661143E-01    0.500005E+01    0.122136E-02    0.139430E+00
    0.747133E+02   -0.442386E-01    0.129146E+00   -0.201508E-01    0.659012E-01    0.499039E+01    0.121021E-02    0.138844E+00
    0.748126E+02   -0.433344E-01    0.128793E+00   -0.197037E-01    0.656910E-01    0.498109E+01    0.119808E-02    0.138220E+00
    0.749147E+02   -0.421757E-01    0.128523E+00   -0.191247E-01    0.655145E-01    0.497448E+01    0.118577E-02    0.137613E+00
    0.750194E+02   -0.407279E-01    0.128439E+00   -0.183930E-01    0.654229E-01    0.497447E+01    0.117487E-02    0.137119E+00
    0.751269E+02   -0.391344E-01    0.128827E+00   -0.175722E-01    0.655656E-01    0.499246E+01    0.117114E-02    0.137070E+00
    0.752371E+02   -0.373614E-01    0.129267E+00   -0.166594E-01    0.657286E-01    0.501222E+01    0.116756E-02    0.137025E+00
    0.753500E+02   -0.352645E-01    0.130227E+00   -0.155659E-01    0.661430E-01    0.505139E+01    0.117118E-02    0.137417E+00
    0.754657E+02   -0.332243E-01    0.132203E+00   -0.144675E-01    0.670717E-01    0.513017E+01    0.119283E-02    0.138849E+00
    0.755841E+02   -0.312904E-01    0.134439E+00   -0.134141E-01    0.681333E-01    0.521955E+01    0.122042E-02    0.140557E+00
    0.757051E+02   -0.295855E-01    0.138036E+00   -0.124279E-01    0.698865E-01    0.536243E+01    0.127387E-02    0.143674E+00
    0.758290E+02   -0.294048E-01    0.143443E+00   -0.121405E-01    0.726029E-01    0.557998E+01    0.136941E-02    0.149011E+00
    0.759555E+02   -0.320459E-01    0.149170E+00   -0.132540E-01    0.755870E-01    0.581902E+01    0.148982E-02    0.155518E+00
    0.760847E+02   -0.360333E-01    0.151268E+00   -0.151828E-01    0.768001E-01    0.592247E+01    0.155340E-02    0.158876E+00
    0.762167E+02   -0.396594E-01    0.152626E+00   -0.169604E-01    0.776297E-01    0.599683E+01    0.160317E-02    0.161415E+00
    0.763514E+02   -0.439248E-01    0.154049E+00   -0.190613E-01    0.785211E-01    0.607641E+01    0.166118E-02    0.164264E+00
    0.764888E+02   -0.482011E-01    0.152358E+00   -0.212981E-01    0.778369E-01    0.603430E+01    0.166071E-02    0.163979E+00
    0.766290E+02   -0.509139E-01    0.149589E+00   -0.227875E-01    0.765385E-01    0.594451E+01    0.162887E-02    0.162043E+00
    0.767718E+02   -0.521479E-01    0.146845E+00   -0.235238E-01    0.751911E-01    0.585075E+01    0.158663E-02    0.159616E+00
    0.769174E+02   -0.525680E-01    0.144799E+00   -0.238174E-01    0.741658E-01    0.578191E+01    0.155156E-02    0.157631E+00
    0.770657E+02   -0.523760E-01    0.142639E+00   -0.238025E-01    0.730585E-01    0.570657E+01    0.150973E-02    0.155323E+00
    0.772167E+02   -0.514669E-01    0.141053E+00   -0.233997E-01    0.722165E-01    0.565185E+01    0.147304E-02    0.153384E+00
    0.773705E+02   -0.503665E-01    0.140437E+00   -0.228626E-01    0.718613E-01    0.563526E+01    0.145284E-02    0.152396E+00
    0.775269E+02   -0.490905E-01    0.139785E+00   -0.222377E-01    0.714820E-01    0.561685E+01    0.143086E-02    0.151320E+00
    0.776861E+02   -0.476589E-01    0.140179E+00   -0.214951E-01    0.716293E-01    0.563998E+01    0.142687E-02    0.151283E+00
    0.778480E+02   -0.465178E-01    0.141144E+00   -0.208794E-01    0.720768E-01    0.568704E+01    0.143571E-02    0.151923E+00
    0.780127E+02   -0.454146E-01    0.142226E+00   -0.202786E-01    0.725851E-01    0.573926E+01    0.144725E-02    0.152691E+00
    0.781800E+02   -0.448559E-01    0.144965E+00   -0.198912E-01    0.739536E-01    0.586001E+01    0.149372E-02    0.155323E+00
    0.783501E+02   -0.456863E-01    0.147989E+00   -0.201955E-01    0.755198E-01    0.599714E+01    0.155684E-02    0.158682E+00
    0.785229E+02   -0.482301E-01    0.151076E+00   -0.213644E-01    0.771871E-01    0.614305E+01    0.163590E-02    0.162677E+00
    0.786984E+02   -0.515245E-01    0.151631E+00   -0.230162E-01    0.776016E-01    0.618985E+01    0.167372E-02    0.164352E+00
    0.788766E+02   -0.549410E-01    0.152193E+00   -0.247324E-01    0.780262E-01    0.623781E+01    0.171447E-02    0.166095E+00
    0.790576E+02   -0.584306E-01    0.150867E+00   -0.265656E-01    0.774921E-01    0.620933E+01    0.172051E-02    0.165913E+00
    0.792413E+02   -0.610761E-01    0.148526E+00   -0.280116E-01    0.764033E-01    0.613631E+01    0.170034E-02    0.164365E+00
    0.794277E+02   -0.628978E-01    0.145986E+00   -0.290449E-01    0.751764E-01    0.605197E+01    0.166956E-02    0.162302E+00
    0.796168E+02   -0.638766E-01    0.142874E+00   -0.296683E-01    0.736211E-01    0.594088E+01    0.162060E-02    0.159326E+00
    0.798086E+02   -0.636679E-01    0.139642E+00   -0.296857E-01    0.719571E-01    0.582059E+01    0.155868E-02    0.155813E+00
    0.800032E+02   -0.615607E-01    0.136294E+00   -0.287317E-01    0.701629E-01    0.568929E+01    0.147741E-02    0.151565E+00
    0.802005E+02   -0.590547E-01    0.137033E+00   -0.274219E-01    0.704482E-01    0.572651E+01    0.146686E-02    0.151559E+00
    0.804005E+02   -0.577895E-01    0.138135E+00   -0.267341E-01    0.709648E-01    0.578289E+01    0.147499E-02    0.152325E+00
    0.806032E+02   -0.581930E-01    0.140869E+00   -0.268374E-01    0.723767E-01    0.591281E+01    0.152840E-02    0.155339E+00
    0.808086E+02   -0.601974E-01    0.141920E+00   -0.278219E-01    0.729910E-01    0.597820E+01    0.156663E-02    0.157101E+00
    0.810168E+02   -0.631322E-01    0.142635E+00   -0.292963E-01    0.734698E-01    0.603292E+01    0.160863E-02    0.158824E+00
    0.812277E+02   -0.664903E-01    0.141092E+00   -0.310775E-01    0.728086E-01    0.599419E+01    0.161437E-02    0.158291E+00
    0.814413E+02   -0.690927E-01    0.138117E+00   -0.325277E-01    0.713804E-01    0.589205E+01    0.158750E-02    0.155947E+00
    0.816576E+02   -0.703605E-01    0.134194E+00   -0.333267E-01    0.694101E-01    0.574464E+01    0.153086E-02    0.152106E+00
    0.818767E+02   -0.704252E-01    0.130724E+00   -0.334866E-01    0.676265E-01    0.561204E+01    0.147083E-02    0.148348E+00
    0.820984E+02   -0.696940E-01    0.127461E+00   -0.332263E-01    0.659206E-01    0.548529E+01    0.140722E-02    0.144560E+00
    0.823229E+02   -0.683658E-01    0.124847E+00   -0.326334E-01    0.645292E-01    0.538419E+01    0.134951E-02    0.141305E+00
    0.825502E+02   -0.669300E-01    0.123017E+00   -0.319571E-01    0.635388E-01    0.531619E+01    0.130465E-02    0.138884E+00
    0.827801E+02   -0.655511E-01    0.121310E+00   -0.313053E-01    0.626150E-01    0.525348E+01    0.126316E-02    0.136624E+00
    0.830128E+02   -0.641885E-01    0.119903E+00   -0.306515E-01    0.618471E-01    0.520365E+01    0.122730E-02    0.134704E+00
