1.500001740000000139e-01 7.733222824175100662e-04 2.750361482350554675e-03
2.999992800999999876e-01 2.563945332728294769e-03 9.166518623849161801e-03
4.499982122000000251e-01 4.568012711971213523e-03 1.644441025465077227e-02
5.499982122000000029e-01 5.855907893861360403e-03 2.082074052309480089e-02
6.499988728000000160e-01 7.063611783996050393e-03 2.481312713838761119e-02
7.499996907000000546e-01 8.238047816353984490e-03 2.859344124052902447e-02
8.499999240000000178e-01 9.394156466049309248e-03 3.221842388896825615e-02
9.500001739999999195e-01 1.053874699457014834e-02 3.571660095888217618e-02
1.050000347999999972e+00 1.167565696690316644e-02 3.910481250447135626e-02
1.150000348000000061e+00 1.280585915195123561e-02 4.238820728922272629e-02
1.299999280100000210e+00 1.445995801778367749e-02 4.712083870233150368e-02
1.449998872800000171e+00 1.619637215767380858e-02 5.183979034455962753e-02
1.549999690699999988e+00 1.731507531469140410e-02 5.480751976745690951e-02
1.649999848000000213e+00 1.843316924956292166e-02 5.771725234244868413e-02
1.749999924000000151e+00 1.954951766194441484e-02 6.056670782940886538e-02
1.850000000000000311e+00 2.066386491259668626e-02 6.335859760124236406e-02
1.950000174000000142e+00 2.177600838944057995e-02 6.609600312866295568e-02
2.050000347999999750e+00 2.288584546357953081e-02 6.878176161173331360e-02
2.150000348000000283e+00 2.399330522796868856e-02 7.141833523065051204e-02
2.250000347999999928e+00 2.509815653647790371e-02 7.400651984378163462e-02
2.399999280099999854e+00 2.672155725786761610e-02 7.778928674080408390e-02
2.549998212200000225e+00 2.840276726972745108e-02 8.158315232928477212e-02
2.649998212200000314e+00 2.949898652857796746e-02 8.402237022901463959e-02
2.749998872799999994e+00 3.059365187690545745e-02 8.643538253808548399e-02
2.849999533400000118e+00 3.168659792462030778e-02 8.882101621297662508e-02
2.949999533400000207e+00 3.277799711131464816e-02 9.118044836944484699e-02
3.049999533399999851e+00 3.386796697548621893e-02 9.351534450315288072e-02
3.149999533400000384e+00 3.495651451319301689e-02 9.582763352300599502e-02
3.249999690700000610e+00 3.604371331115562016e-02 9.811847975817111767e-02
3.349999847999999947e+00 3.712946825129817552e-02 1.003885270158644816e-01
3.449999924000000551e+00 3.821370723070962455e-02 1.026385296236740907e-01
3.549999999999999822e+00 3.929627861641473568e-02 1.048695362736590947e-01
3.650000000000000355e+00 4.037689700770616397e-02 1.070823865702837663e-01
3.750000000000000444e+00 4.145523977301513591e-02 1.092774555502529776e-01
3.850000000000000089e+00 4.253096415346785397e-02 1.114546241694604062e-01
3.950000174000000364e+00 4.360370795467364419e-02 1.136125862135382442e-01
4.099999280100000476e+00 4.518432347960025380e-02 1.168043744681812462e-01
4.249998212200000403e+00 4.679396335879542485e-02 1.200105295343333739e-01
4.349998872799999639e+00 4.784786721419779371e-02 1.221056239959821821e-01
4.449999690699999455e+00 4.889515041794576661e-02 1.241873921697789346e-01
4.549999847999999680e+00 4.993524227641274460e-02 1.262556594941968424e-01
4.649999924000000284e+00 5.096761300132232608e-02 1.283113637835764653e-01
4.750000000000000000e+00 5.199173742973512563e-02 1.303553645661013061e-01
4.850000174000000719e+00 5.300717742467752486e-02 1.323879769272559570e-01
4.950000347999999661e+00 5.401426871169173055e-02 1.344067152811209698e-01
5.056825680100001108e+00 5.505499687322987223e-02 1.364789386805292659e-01
5.206824612200000146e+00 5.650116473201402534e-02 1.395844578864273156e-01
5.349998872799999639e+00 5.792842216038891767e-02 1.425325951650457945e-01
5.449999690700000343e+00 5.888708960743171267e-02 1.445446409799265863e-01
5.549999848000000569e+00 5.983641607423518388e-02 1.465678901905142495e-01
5.649999924000000284e+00 6.077736258348390846e-02 1.486015159223309234e-01
5.750000000000000000e+00 6.171185945981594312e-02 1.506475406310239240e-01
5.850000174000000719e+00 6.264122395650612019e-02 1.527064243000511301e-01
5.950000347999999661e+00 6.356882801213971368e-02 1.547771048119029880e-01
6.064887030100000409e+00 6.458517137174543676e-02 1.570370587481380864e-01
6.214885962200000336e+00 6.591041918321331738e-02 1.604032078168978748e-01
6.349998872800000527e+00 6.722517837109263927e-02 1.634626916888972659e-01
6.449999690699999455e+00 6.815835658172690603e-02 1.656809840903578357e-01
6.549999847999999680e+00 6.909735055156372707e-02 1.679445288709072448e-01
6.649999924000000284e+00 7.004529655266281130e-02 1.702503426638736217e-01
6.750000000000000000e+00 7.100639951027849783e-02 1.725992626236285687e-01
6.850000174000000719e+00 7.198445788629420639e-02 1.749895772562367058e-01
6.950000348000000550e+00 7.298605182637861455e-02 1.774163877122665323e-01
7.076948880099999784e+00 7.422988633792791668e-02 1.803486269887458748e-01
7.214285662200000893e+00 7.548677769487412148e-02 1.837134015010269683e-01
7.337336062200000342e+00 7.675059797402841721e-02 1.873143354861979970e-01
7.449998212200000580e+00 7.814907871017140462e-02 1.905568606053625602e-01
7.549998872800000704e+00 7.930298021508017103e-02 1.932898362170901996e-01
7.649999690699999633e+00 8.047796617951773201e-02 1.960925031013140696e-01
7.749999923999999929e+00 8.168395765266898978e-02 1.989558232892910117e-01
7.850000173999999831e+00 8.292540414350126066e-02 2.018776122537922213e-01
7.950000347999999661e+00 8.420570415046382817e-02 2.048574086521082471e-01
8.050000951999999543e+00 8.552811920314994099e-02 2.078952456525371972e-01
8.150001806000000570e+00 8.689731823830672275e-02 2.109903945973783945e-01
8.297405634100000427e+00 8.898062837013338833e-02 2.156167520721957165e-01
8.447403712199999859e+00 9.120440450691509604e-02 2.205210428125057853e-01
8.549998872799999816e+00 9.284634476972580819e-02 2.239695389821420579e-01
8.649999690700001409e+00 9.448823719818938427e-02 2.273512985127259800e-01
8.749999847999999858e+00 9.619362202815978646e-02 2.307885876391650160e-01
8.849999924000000462e+00 9.796788532724291787e-02 2.342794410611669653e-01
8.950000173999999475e+00 9.981751577433289890e-02 2.378208345174869787e-01
9.050000952000001320e+00 1.017463476023645202e-01 2.414099570698204633e-01
9.150001806000002347e+00 1.037623663797604540e-01 2.450432162390868973e-01
9.256429505999999918e+00 1.060116621599657971e-01 2.489446385064834621e-01
9.385897374099998913e+00 1.088584140984685811e-01 2.536117170120836817e-01
9.529468027200000080e+00 1.120940228335319533e-01 2.590349211321819611e-01
9.649998907799998804e+00 1.151879053792395635e-01 2.637017050131666984e-01
9.749999705699998742e+00 1.178271787117084746e-01 2.674586315383747914e-01
9.849999928999999099e+00 1.205711624033060647e-01 2.712000238365552818e-01
9.950000183999998526e+00 1.234334656634123034e-01 2.749020860519133524e-01
